target,model_name,accuracy,precision,recall,f1_score,roc_auc,pr_auc,positive_prediction_rate,true_negative,false_positive,false_negative,true_positive
visit,logistic_regression_balanced,0.60390625,0.21205558563436203,0.6253326237360298,0.316711590296496,0.6508603152574938,0.22781323027054975,0.432890625,6555,4366,704,1175
visit,random_forest_classifier_balanced,0.78859375,0.1841100076394194,0.12825971261309208,0.15119196988707653,0.5605629700438474,0.16944999817724404,0.102265625,9853,1068,1638,241
visit,decision_tree_classifier_balanced,0.746640625,0.1773888363292337,0.19957424161788184,0.18782870022539444,0.5175377532356696,0.1544828017016853,0.16515625,9182,1739,1504,375
